"inst_325" "inst_449" "inst_484" "inst_489" "inst_493" "inst_544" "inst_836" "inst_953" "inst_999" "inst_1057" "inst_1160" "inst_1219" "inst_1644" "inst_2679" "inst_4443" "inst_5216" "inst_5579" "inst_5947" "inst_5952" "inst_6178" "inst_6938" "inst_6979"
"200097_s_at" 3109 8984 16775 14350 7462 8465 19179 20643 16545 18940 6153 18427 4811 8068 13746 2552 5035 14296 5753 14942 13402 16397
"200098_s_at" 4918 3191 16289 18192 2793 19307 19767 17419 19982 6044 19139 17154 19121 9101 16057 18063 9975 6507 9908 20094 19972 17768
"200099_s_at" 3968 8943 8977 3144 16591 6078 5570 4719 8366 18574 16298 4397 14159 16151 9894 7873 12053 9338 10138 5049 14832 4540
"200593_s_at" 20200 18150 14631 19200 2298 9294 13012 15863 16727 19191 19042 18604 19510 20909 19317 19167 20111 5337 18501 19296 21190 18026
"200594_x_at" 16359 3446 16095 3891 2173 7316 14270 16653 17247 17936 18640 19410 16780 11153 15879 14275 8666 12874 9228 15232 14881 14830
"200595_s_at" 2096 4851 8319 17527 5394 21700 14955 15969 20191 1456 20790 19023 18454 11623 13741 17269 6343 14536 9681 21031 15737 19272
"200596_s_at" 2818 5564 18722 20490 19204 8314 2333 14398 17788 18092 21565 14752 15886 14049 14226 18682 19096 6523 11491 15173 20123 20932
"200597_at" 16576 609 16984 3065 440 20355 13463 485 2722 17611 19926 20324 2997 11508 3846 579 1493 2484 1075 16716 2524 14337
"200598_s_at" 1483 6510 4834 17069 5611 19091 16603 16416 3061 1123 15907 13423 15294 5086 8017 16960 7851 17651 9490 14023 3707 16527
"200599_s_at" 4885 4886 16941 12592 3360 7068 16221 15566 4940 17369 19271 16660 2867 3615 17115 15053 16248 12206 8311 11367 17451 18560
"200600_at" 12384 3187 17513 20786 2688 6689 11809 6486 10374 8955 5070 4796 5085 5344 3521 6078 11375 6412 2547 12078 11766 10191
"200601_at" 3398 16477 7209 16287 664 22275 17275 15146 20862 19546 3051 5275 568 772 3272 21272 20505 21862 4557 20562 1180 19431
"200602_at" 48 2738 1617 15620 260 3065 916 16429 2844 871 854 4483 3471 1533 19568 4656 3062 1825 3131 10789 18090 16253
"200603_at" 2546 4355 9382 12520 3635 3688 12655 4806 14187 980 4891 16605 2956 4305 13756 3314 6420 12229 2935 14966 13238 3520
