"inst_593" "inst_611" "inst_864" "inst_972" "inst_1008" "inst_1066" "inst_1169" "inst_1228" "inst_1653" "inst_2688" "inst_4452" "inst_5225" "inst_5588" "inst_6187" "inst_6946"
"200682_s_at" 8989 4925 9014 17548 3525 17437 17732 4369 2480 9482 8859 7527 5234 11096 16573
"200683_s_at" 16742 5263 3761 5180 3865 17733 13698 3846 3621 8276 6305 14916 3716 6519 15333
"200684_s_at" 9187 5288 4027 3874 3429 15512 16450 4420 3144 16301 6910 2885 5640 6276 12870
"200685_at" 7217 9111 19571 19961 13953 22218 19715 3302 13696 8863 16356 4448 12759 11272 16360
"200686_s_at" 4614 2992 6337 17481 3906 16715 20048 2265 2572 3724 15836 2340 4366 3887 20506
"200687_s_at" 5361 5666 4854 5433 14034 17133 19146 4867 14464 8634 3869 5346 6357 10383 16900
"200688_at" 6616 3734 5634 3908 20645 20682 20065 6030 19831 7069 18420 20140 18474 19005 20191
"200689_x_at" 17241 3402 8773 16815 3467 16532 2680 5246 2955 11478 9573 14895 6043 14330 12556
"200690_at" 4536 2648 2925 1570 17708 4232 4311 4059 13387 4839 5485 3730 6153 1742 17710
"200691_s_at" 2232 1950 5259 2647 2832 1569 2522 3146 1048 3274 2558 3165 2525 2395 2818
"200692_s_at" 4405 2689 3633 3418 1725 2040 4236 1026 1977 3640 1482 725 2167 2233 13776
"200693_at" 8841 14552 8626 4933 14903 15561 16132 4953 15837 9044 7996 15865 12806 9942 17832
"200694_s_at" 16869 18856 7144 5584 15915 18840 20427 15247 17510 20171 7651 6423 13376 18694 16219
"200695_at" 8540 17636 20539 2345 16648 17965 3301 19086 15137 15601 7221 2978 6128 10175 13622
"200696_s_at" 2829 5675 1650 1098 17682 21517 3475 1285 14051 7165 16258 6406 1880 7234 19178
"200697_at" 6447 3972 8906 3246 18286 19975 3633 19839 19019 18695 17530 19527 18630 11019 19531
"200698_at" 1650 1325 2226 1200 1733 1341 18354 18022 14730 4006 7715 1547 2988 3031 2933
"200699_at" 5631 2581 1636 1283 3555 738 15228 17547 15010 8940 6314 2211 3856 10409 262
"200700_s_at" 9272 4807 3264 1746 1715 1342 16066 18797 14105 7738 16293 3256 3574 4051 1149
"200701_at" 8299 17115 3428 2976 2944 1108 2646 15330 2018 9171 9199 4352 5445 4667 14245
"200702_s_at" 6532 20574 5855 21217 20053 2567 18951 19560 14209 20337 8397 19232 13659 20577 16438
"200703_at" 3650 5334 6596 15945 16022 16504 20855 3934 13597 8657 15980 2454 5201 18767 13704
"200704_at" 3459 13770 2626 1073 13789 1690 1470 7167 1882 6650 3817 4218 3906 2731 13229
"200705_s_at" 16796 14277 7548 17064 15049 3781 15657 3550 3071 11324 8958 15804 5694 14159 12728
"200706_s_at" 1504 1207 4254 838 3840 717 1455 16758 907 5765 16724 1022 1410 2482 2126
"200707_at" 20370 18206 5178 2331 17836 16932 18284 18764 17714 8316 8946 3167 14953 8522 14187
"200708_at" 17547 4931 8795 3736 2974 15718 17787 16906 16086 20137 8037 15701 14806 11746 2699
"200709_at" 2820 14230 2211 2433 18758 2477 20976 19787 1760 19647 6743 2969 18706 18314 17560
"200710_at" 5568 5750 4438 2118 14385 2656 14126 3987 17623 15805 16475 5350 6413 10173 15643
"200711_s_at" 20162 15652 5025 3989 14716 3783 4014 4670 18820 18916 6529 6591 12866 9171 15523
"200712_s_at" 4794 5754 1941 17149 1089 16348 14707 15571 16512 5020 19122 7204 5869 5233 19527
"200713_s_at" 5641 3167 7608 4405 14239 3799 13751 15747 2238 6368 9764 15676 5535 6832 14622
"200714_x_at" 2112 4662 2879 1609 13264 1520 14462 4488 13362 7138 5131 2492 2099 3737 14946
"200715_x_at" 8774 14899 6191 4861 3657 15986 2821 7035 1495 8292 8350 15009 15783 10426 12513
"200716_x_at" 19623 4701 19575 5828 3735 16648 3357 6243 3722 11473 11485 7508 13291 14325 2662
"200717_x_at" 7243 5331 12166 15895 6954 15489 4270 16338 3774 11376 11393 10047 8514 14236 12241
"200718_s_at" 8582 4191 19072 16602 15235 16000 14622 6280 3214 8272 16138 5540 15111 8777 14545
"200719_at" 6662 1564 6623 18118 19144 21225 16286 16369 16975 16692 8716 18544 13634 10000 15020
"200720_s_at" 20741 19547 8099 19017 17830 16740 20440 19389 15459 6632 18927 16429 14761 8988 18518
"200721_s_at" 8998 16184 9000 4257 18360 17145 16834 20527 17443 6224 7164 16000 18479 4524 17295
"200722_s_at" 5565 21170 21152 20055 16266 21115 14710 17746 17781 6878 18638 20751 20615 6183 21316
"200723_s_at" 17148 19217 8922 19195 16041 19593 15554 16733 16957 15748 18301 17618 16310 7961 18824
"200724_at" 22203 4984 17705 7445 12719 13242 11013 5756 3023 4525 7476 21606 6103 2390 319
"200725_x_at" 18615 4572 9134 5391 2981 3550 14258 5483 3364 8820 9403 6407 13778 18464 1877
